"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","Mode","ModeWithoutHardLink","BaseName","ResolvedTarget","Target","LinkType","Name","Parent","Root","Exists","FullName","Extension","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","LinkTarget","UnixFileMode","Attributes"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\.github","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations",".github","C","Microsoft.PowerShell.Core\FileSystem","True","d----","d----",".github","C:\GitRepos\alisoncreations\.github",,,".github","C:\GitRepos\alisoncreations","C:\","True","C:\GitRepos\alisoncreations\.github",".github","19/09/2025 20:53:06","19/09/2025 19:53:06","24/09/2025 22:09:42","24/09/2025 21:09:42","19/09/2025 20:53:06","19/09/2025 19:53:06",,"-1","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations","resources","C","Microsoft.PowerShell.Core\FileSystem","True","d----","d----","resources","C:\GitRepos\alisoncreations\resources",,,"resources","C:\GitRepos\alisoncreations","C:\","True","C:\GitRepos\alisoncreations\resources","","19/09/2025 13:14:03","19/09/2025 12:14:03","24/09/2025 22:17:59","24/09/2025 21:17:59","24/09/2025 22:17:59","24/09/2025 21:17:59",,"-1","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\android-chrome-192x192.png","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations","android-chrome-192x192.png","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","android-chrome-192x192","C:\GitRepos\alisoncreations\android-chrome-192x192.png",,,"android-chrome-192x192.png",,,"True","C:\GitRepos\alisoncreations\android-chrome-192x192.png",".png","19/09/2025 13:14:03","19/09/2025 12:14:03","19/09/2025 13:14:03","19/09/2025 12:14:03","19/09/2025 13:14:03","19/09/2025 12:14:03",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\android-chrome-512x512.png","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations","android-chrome-512x512.png","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","android-chrome-512x512","C:\GitRepos\alisoncreations\android-chrome-512x512.png",,,"android-chrome-512x512.png",,,"True","C:\GitRepos\alisoncreations\android-chrome-512x512.png",".png","19/09/2025 13:14:03","19/09/2025 12:14:03","19/09/2025 13:14:03","19/09/2025 12:14:03","19/09/2025 13:14:03","19/09/2025 12:14:03",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\apple-touch-icon.png","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations","apple-touch-icon.png","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","apple-touch-icon","C:\GitRepos\alisoncreations\apple-touch-icon.png",,,"apple-touch-icon.png",,,"True","C:\GitRepos\alisoncreations\apple-touch-icon.png",".png","19/09/2025 13:14:03","19/09/2025 12:14:03","19/09/2025 13:14:03","19/09/2025 12:14:03","19/09/2025 13:14:03","19/09/2025 12:14:03",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\favicon-16x16.png","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations","favicon-16x16.png","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","favicon-16x16","C:\GitRepos\alisoncreations\favicon-16x16.png",,,"favicon-16x16.png",,,"True","C:\GitRepos\alisoncreations\favicon-16x16.png",".png","19/09/2025 13:14:03","19/09/2025 12:14:03","19/09/2025 13:14:03","19/09/2025 12:14:03","19/09/2025 13:14:03","19/09/2025 12:14:03",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\favicon-32x32.png","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations","favicon-32x32.png","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","favicon-32x32","C:\GitRepos\alisoncreations\favicon-32x32.png",,,"favicon-32x32.png",,,"True","C:\GitRepos\alisoncreations\favicon-32x32.png",".png","19/09/2025 13:14:03","19/09/2025 12:14:03","19/09/2025 13:14:03","19/09/2025 12:14:03","19/09/2025 13:14:03","19/09/2025 12:14:03",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\favicon.ico","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations","favicon.ico","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","favicon","C:\GitRepos\alisoncreations\favicon.ico",,,"favicon.ico",,,"True","C:\GitRepos\alisoncreations\favicon.ico",".ico","19/09/2025 13:14:03","19/09/2025 12:14:03","24/09/2025 22:09:52","24/09/2025 21:09:52","19/09/2025 13:14:03","19/09/2025 12:14:03",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\Gold Luxury Initial Circle Logo.png","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations","Gold Luxury Initial Circle Logo.png","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","Gold Luxury Initial Circle Logo","C:\GitRepos\alisoncreations\Gold Luxury Initial Circle Logo.png",,,"Gold Luxury Initial Circle Logo.png",,,"True","C:\GitRepos\alisoncreations\Gold Luxury Initial Circle Logo.png",".png","19/09/2025 13:14:03","19/09/2025 12:14:03","24/09/2025 22:16:57","24/09/2025 21:16:57","19/09/2025 13:14:03","19/09/2025 12:14:03",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\index.html","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations","index.html","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","index","C:\GitRepos\alisoncreations\index.html",,,"index.html",,,"True","C:\GitRepos\alisoncreations\index.html",".html","19/09/2025 13:14:03","19/09/2025 12:14:03","20/09/2025 03:34:38","20/09/2025 02:34:38","19/09/2025 13:14:03","19/09/2025 12:14:03",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\logo.png","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations","logo.png","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","logo","C:\GitRepos\alisoncreations\logo.png",,,"logo.png",,,"True","C:\GitRepos\alisoncreations\logo.png",".png","19/09/2025 13:14:03","19/09/2025 12:14:03","24/09/2025 22:17:08","24/09/2025 21:17:08","19/09/2025 13:14:03","19/09/2025 12:14:03",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\.github\AGENTS.md","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\.github","AGENTS.md","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","AGENTS","C:\GitRepos\alisoncreations\.github\AGENTS.md",,,"AGENTS.md",,,"True","C:\GitRepos\alisoncreations\.github\AGENTS.md",".md","19/09/2025 20:53:06","19/09/2025 19:53:06","20/09/2025 04:32:55","20/09/2025 03:32:55","17/09/2025 21:19:14","17/09/2025 20:19:14",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\.github\copilot-instructions.md","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\.github","copilot-instructions.md","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","copilot-instructions","C:\GitRepos\alisoncreations\.github\copilot-instructions.md",,,"copilot-instructions.md",,,"True","C:\GitRepos\alisoncreations\.github\copilot-instructions.md",".md","19/09/2025 20:53:06","19/09/2025 19:53:06","20/09/2025 03:34:17","20/09/2025 02:34:17","13/09/2025 00:29:09","12/09/2025 23:29:09",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources","images","C","Microsoft.PowerShell.Core\FileSystem","True","d----","d----","images","C:\GitRepos\alisoncreations\resources\images",,,"images","C:\GitRepos\alisoncreations\resources","C:\","True","C:\GitRepos\alisoncreations\resources\images","","19/09/2025 13:14:03","19/09/2025 12:14:03","24/09/2025 22:09:42","24/09/2025 21:09:42","19/09/2025 13:18:05","19/09/2025 12:18:05",,"-1","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\videos","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources","videos","C","Microsoft.PowerShell.Core\FileSystem","True","d----","d----","videos","C:\GitRepos\alisoncreations\resources\videos",,,"videos","C:\GitRepos\alisoncreations\resources","C:\","True","C:\GitRepos\alisoncreations\resources\videos","","24/09/2025 22:17:55","24/09/2025 21:17:55","24/09/2025 22:27:03","24/09/2025 21:27:03","24/09/2025 22:27:03","24/09/2025 21:27:03",,"-1","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\WebsiteNotes.md","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources","WebsiteNotes.md","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","WebsiteNotes","C:\GitRepos\alisoncreations\resources\WebsiteNotes.md",,,"WebsiteNotes.md",,,"True","C:\GitRepos\alisoncreations\resources\WebsiteNotes.md",".md","19/09/2025 13:14:03","19/09/2025 12:14:03","24/09/2025 22:18:08","24/09/2025 21:18:08","19/09/2025 13:14:03","19/09/2025 12:14:03",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images\Balloon Teddy set pink.jpg","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images","Balloon Teddy set pink.jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","Balloon Teddy set pink","C:\GitRepos\alisoncreations\resources\images\Balloon Teddy set pink.jpg",,,"Balloon Teddy set pink.jpg",,,"True","C:\GitRepos\alisoncreations\resources\images\Balloon Teddy set pink.jpg",".jpg","19/09/2025 13:15:13","19/09/2025 12:15:13","24/09/2025 22:15:37","24/09/2025 21:15:37","15/06/2025 14:09:22","15/06/2025 13:09:22",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images\Balloon Teddy set white.jpg","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images","Balloon Teddy set white.jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","Balloon Teddy set white","C:\GitRepos\alisoncreations\resources\images\Balloon Teddy set white.jpg",,,"Balloon Teddy set white.jpg",,,"True","C:\GitRepos\alisoncreations\resources\images\Balloon Teddy set white.jpg",".jpg","19/09/2025 13:15:13","19/09/2025 12:15:13","24/09/2025 22:09:59","24/09/2025 21:09:59","15/06/2025 14:09:24","15/06/2025 13:09:24",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images\Balloon Teddy set yellow.jpg","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images","Balloon Teddy set yellow.jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","Balloon Teddy set yellow","C:\GitRepos\alisoncreations\resources\images\Balloon Teddy set yellow.jpg",,,"Balloon Teddy set yellow.jpg",,,"True","C:\GitRepos\alisoncreations\resources\images\Balloon Teddy set yellow.jpg",".jpg","19/09/2025 13:15:13","19/09/2025 12:15:13","24/09/2025 22:15:37","24/09/2025 21:15:37","15/06/2025 14:09:25","15/06/2025 13:09:25",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images\Big  house scene (2).jpg","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images","Big  house scene (2).jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","Big  house scene (2)","C:\GitRepos\alisoncreations\resources\images\Big  house scene (2).jpg",,,"Big  house scene (2).jpg",,,"True","C:\GitRepos\alisoncreations\resources\images\Big  house scene (2).jpg",".jpg","19/09/2025 13:15:13","19/09/2025 12:15:13","24/09/2025 22:15:37","24/09/2025 21:15:37","15/06/2025 14:09:17","15/06/2025 13:09:17",,"-1","Archive"
