"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","Mode","ModeWithoutHardLink","BaseName","ResolvedTarget","Target","LinkType","Name","Parent","Root","Exists","FullName","Extension","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","LinkTarget","UnixFileMode","Attributes"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources","images","C","Microsoft.PowerShell.Core\FileSystem","True","d----","d----","images","C:\GitRepos\alisoncreations\resources\images",,,"images","C:\GitRepos\alisoncreations\resources","C:\","True","C:\GitRepos\alisoncreations\resources\images","","19/09/2025 13:14:03","19/09/2025 12:14:03","05/10/2025 17:09:52","05/10/2025 16:09:52","05/10/2025 13:49:51","05/10/2025 12:49:51",,"-1","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\videos","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources","videos","C","Microsoft.PowerShell.Core\FileSystem","True","d----","d----","videos","C:\GitRepos\alisoncreations\resources\videos",,,"videos","C:\GitRepos\alisoncreations\resources","C:\","True","C:\GitRepos\alisoncreations\resources\videos","","05/10/2025 13:49:51","05/10/2025 12:49:51","05/10/2025 17:09:52","05/10/2025 16:09:52","05/10/2025 13:49:51","05/10/2025 12:49:51",,"-1","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\ARCfiles-renamed.csv","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources","ARCfiles-renamed.csv","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","ARCfiles-renamed","C:\GitRepos\alisoncreations\resources\ARCfiles-renamed.csv",,,"ARCfiles-renamed.csv",,,"True","C:\GitRepos\alisoncreations\resources\ARCfiles-renamed.csv",".csv","05/10/2025 18:18:05","05/10/2025 17:18:05","05/10/2025 18:18:05","05/10/2025 17:18:05","05/10/2025 18:18:05","05/10/2025 17:18:05",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\ARCfiles.csv","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources","ARCfiles.csv","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","ARCfiles","C:\GitRepos\alisoncreations\resources\ARCfiles.csv",,,"ARCfiles.csv",,,"True","C:\GitRepos\alisoncreations\resources\ARCfiles.csv",".csv","05/10/2025 13:51:43","05/10/2025 12:51:43","05/10/2025 17:24:29","05/10/2025 16:24:29","05/10/2025 13:51:43","05/10/2025 12:51:43",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\WebsiteNotes.md","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources","WebsiteNotes.md","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","WebsiteNotes","C:\GitRepos\alisoncreations\resources\WebsiteNotes.md",,,"WebsiteNotes.md",,,"True","C:\GitRepos\alisoncreations\resources\WebsiteNotes.md",".md","19/09/2025 13:14:03","19/09/2025 12:14:03","05/10/2025 17:24:29","05/10/2025 16:24:29","19/09/2025 13:14:03","19/09/2025 12:14:03",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images\balloon-teddy-set-pink.jpg","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images","balloon-teddy-set-pink.jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","balloon-teddy-set-pink","C:\GitRepos\alisoncreations\resources\images\balloon-teddy-set-pink.jpg",,,"balloon-teddy-set-pink.jpg",,,"True","C:\GitRepos\alisoncreations\resources\images\balloon-teddy-set-pink.jpg",".jpg","05/10/2025 13:49:48","05/10/2025 12:49:48","05/10/2025 17:24:29","05/10/2025 16:24:29","05/10/2025 13:49:48","05/10/2025 12:49:48",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images\balloon-teddy-set-white.jpg","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images","balloon-teddy-set-white.jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","balloon-teddy-set-white","C:\GitRepos\alisoncreations\resources\images\balloon-teddy-set-white.jpg",,,"balloon-teddy-set-white.jpg",,,"True","C:\GitRepos\alisoncreations\resources\images\balloon-teddy-set-white.jpg",".jpg","05/10/2025 13:49:49","05/10/2025 12:49:49","05/10/2025 17:24:29","05/10/2025 16:24:29","05/10/2025 13:49:49","05/10/2025 12:49:49",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images\balloon-teddy-set-yellow.jpg","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images","balloon-teddy-set-yellow.jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","balloon-teddy-set-yellow","C:\GitRepos\alisoncreations\resources\images\balloon-teddy-set-yellow.jpg",,,"balloon-teddy-set-yellow.jpg",,,"True","C:\GitRepos\alisoncreations\resources\images\balloon-teddy-set-yellow.jpg",".jpg","05/10/2025 13:49:49","05/10/2025 12:49:49","05/10/2025 17:24:29","05/10/2025 16:24:29","05/10/2025 13:49:49","05/10/2025 12:49:49",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images\big-coloured-light-up-house-scene.jpg","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images","big-coloured-light-up-house-scene.jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","big-coloured-light-up-house-scene","C:\GitRepos\alisoncreations\resources\images\big-coloured-light-up-house-scene.jpg",,,"big-coloured-light-up-house-scene.jpg",,,"True","C:\GitRepos\alisoncreations\resources\images\big-coloured-light-up-house-scene.jpg",".jpg","05/10/2025 13:49:49","05/10/2025 12:49:49","05/10/2025 17:24:29","05/10/2025 16:24:29","05/10/2025 13:49:49","05/10/2025 12:49:49",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images\big-house-scene-(2).jpg","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images","big-house-scene-(2).jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","big-house-scene-(2)","C:\GitRepos\alisoncreations\resources\images\big-house-scene-(2).jpg",,,"big-house-scene-(2).jpg",,,"True","C:\GitRepos\alisoncreations\resources\images\big-house-scene-(2).jpg",".jpg","05/10/2025 13:49:49","05/10/2025 12:49:49","05/10/2025 17:24:29","05/10/2025 16:24:29","05/10/2025 13:49:49","05/10/2025 12:49:49",,"-1","Archive"
