"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","Mode","ModeWithoutHardLink","BaseName","ResolvedTarget","Target","LinkType","Name","Parent","Root","Exists","FullName","Extension","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","LinkTarget","UnixFileMode","Attributes"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources","images","C","Microsoft.PowerShell.Core\FileSystem","True","d----","d----","images","C:\GitRepos\alisoncreations\resources\images",,,"images","C:\GitRepos\alisoncreations\resources","C:\","True","C:\GitRepos\alisoncreations\resources\images","","19/09/2025 13:14:03","19/09/2025 12:14:03","05/10/2025 00:15:34","04/10/2025 23:15:34","05/10/2025 00:15:34","04/10/2025 23:15:34",,"-1","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\videos","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources","videos","C","Microsoft.PowerShell.Core\FileSystem","True","d----","d----","videos","C:\GitRepos\alisoncreations\resources\videos",,,"videos","C:\GitRepos\alisoncreations\resources","C:\","True","C:\GitRepos\alisoncreations\resources\videos","","24/09/2025 22:17:55","24/09/2025 21:17:55","04/10/2025 23:27:42","04/10/2025 22:27:42","24/09/2025 22:27:03","24/09/2025 21:27:03",,"-1","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\ARCfiles.csv","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources","ARCfiles.csv","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","ARCfiles","C:\GitRepos\alisoncreations\resources\ARCfiles.csv",,,"ARCfiles.csv",,,"True","C:\GitRepos\alisoncreations\resources\ARCfiles.csv",".csv","04/10/2025 23:47:26","04/10/2025 22:47:26","04/10/2025 23:47:26","04/10/2025 22:47:26","04/10/2025 23:39:28","04/10/2025 22:39:28",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\WebsiteNotes.md","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources","WebsiteNotes.md","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","WebsiteNotes","C:\GitRepos\alisoncreations\resources\WebsiteNotes.md",,,"WebsiteNotes.md",,,"True","C:\GitRepos\alisoncreations\resources\WebsiteNotes.md",".md","19/09/2025 13:14:03","19/09/2025 12:14:03","04/10/2025 23:36:52","04/10/2025 22:36:52","19/09/2025 13:14:03","19/09/2025 12:14:03",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images\balloon-teddy-set-pink.jpg","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images","balloon-teddy-set-pink.jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","balloon-teddy-set-pink","C:\GitRepos\alisoncreations\resources\images\balloon-teddy-set-pink.jpg",,,"balloon-teddy-set-pink.jpg",,,"True","C:\GitRepos\alisoncreations\resources\images\balloon-teddy-set-pink.jpg",".jpg","19/09/2025 13:15:13","19/09/2025 12:15:13","05/10/2025 00:12:11","04/10/2025 23:12:11","15/06/2025 14:09:22","15/06/2025 13:09:22",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images\balloon-teddy-set-white.jpg","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images","balloon-teddy-set-white.jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","balloon-teddy-set-white","C:\GitRepos\alisoncreations\resources\images\balloon-teddy-set-white.jpg",,,"balloon-teddy-set-white.jpg",,,"True","C:\GitRepos\alisoncreations\resources\images\balloon-teddy-set-white.jpg",".jpg","19/09/2025 13:15:13","19/09/2025 12:15:13","05/10/2025 00:12:11","04/10/2025 23:12:11","15/06/2025 14:09:24","15/06/2025 13:09:24",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images\balloon-teddy-set-yellow.jpg","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images","balloon-teddy-set-yellow.jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","balloon-teddy-set-yellow","C:\GitRepos\alisoncreations\resources\images\balloon-teddy-set-yellow.jpg",,,"balloon-teddy-set-yellow.jpg",,,"True","C:\GitRepos\alisoncreations\resources\images\balloon-teddy-set-yellow.jpg",".jpg","19/09/2025 13:15:13","19/09/2025 12:15:13","05/10/2025 00:12:11","04/10/2025 23:12:11","15/06/2025 14:09:25","15/06/2025 13:09:25",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images\big-coloured-light-up-house-scene.jpg","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images","big-coloured-light-up-house-scene.jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","big-coloured-light-up-house-scene","C:\GitRepos\alisoncreations\resources\images\big-coloured-light-up-house-scene.jpg",,,"big-coloured-light-up-house-scene.jpg",,,"True","C:\GitRepos\alisoncreations\resources\images\big-coloured-light-up-house-scene.jpg",".jpg","19/09/2025 13:15:13","19/09/2025 12:15:13","05/10/2025 00:12:11","04/10/2025 23:12:11","15/06/2025 14:09:23","15/06/2025 13:09:23",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images\big-house-scene-(2).jpg","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images","big-house-scene-(2).jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","big-house-scene-(2)","C:\GitRepos\alisoncreations\resources\images\big-house-scene-(2).jpg",,,"big-house-scene-(2).jpg",,,"True","C:\GitRepos\alisoncreations\resources\images\big-house-scene-(2).jpg",".jpg","19/09/2025 13:15:13","19/09/2025 12:15:13","05/10/2025 00:12:11","04/10/2025 23:12:11","15/06/2025 14:09:17","15/06/2025 13:09:17",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images\big-house-scene.jpg","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images","big-house-scene.jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","big-house-scene","C:\GitRepos\alisoncreations\resources\images\big-house-scene.jpg",,,"big-house-scene.jpg",,,"True","C:\GitRepos\alisoncreations\resources\images\big-house-scene.jpg",".jpg","19/09/2025 13:15:13","19/09/2025 12:15:13","05/10/2025 00:12:11","04/10/2025 23:12:11","15/06/2025 14:09:25","15/06/2025 13:09:25",,"-1","Archive"
