"Handle","Title","Body (HTML)","Vendor","Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Google Shopping / Google Product Category","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / MPN","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit","Variant Tax Code","Cost per item","Included / [Primary]","Included / International","Status","product.metafields.custom.quote"
"balloon-teddy-set","Balloon Teddy Set","Hand-made resin creation: Balloon Teddy Set.","Alison Resin Creations (ARC)","Resin Art","Balloon, Pink, Set, Teddy, White, Yellow","TRUE","Color","Pink",,,,,,"0",,"0","deny","manual","0.00",,"TRUE","TRUE",,"https://raw.githubusercontent.com/BanterBoy/alisoncreations/feat/arc-initial-site/resources/images/balloon-teddy-set-pink.jpg","1","Balloon Teddy Set - Pink","FALSE","Balloon Teddy Set","Discover the Balloon Teddy Set from Alison Resin Creations (ARC).",,,,,,,,,,,,,,,"g",,"0.00","TRUE","TRUE","draft",
"balloon-teddy-set","Balloon Teddy Set","Hand-made resin creation: Balloon Teddy Set.","Alison Resin Creations (ARC)","Resin Art","Balloon, Pink, Set, Teddy, White, Yellow","TRUE","Color","White",,,,,,"0",,"0","deny","manual","0.00",,"TRUE","TRUE",,"https://raw.githubusercontent.com/BanterBoy/alisoncreations/feat/arc-initial-site/resources/images/balloon-teddy-set-white.jpg","2","Balloon Teddy Set - White","FALSE","Balloon Teddy Set","Discover the Balloon Teddy Set from Alison Resin Creations (ARC).",,,,,,,,,,,,,,,"g",,"0.00","TRUE","TRUE","draft",
"balloon-teddy-set","Balloon Teddy Set","Hand-made resin creation: Balloon Teddy Set.","Alison Resin Creations (ARC)","Resin Art","Balloon, Pink, Set, Teddy, White, Yellow","TRUE","Color","Yellow",,,,,,"0",,"0","deny","manual","0.00",,"TRUE","TRUE",,"https://raw.githubusercontent.com/BanterBoy/alisoncreations/feat/arc-initial-site/resources/images/balloon-teddy-set-yellow.jpg","3","Balloon Teddy Set - Yellow","FALSE","Balloon Teddy Set","Discover the Balloon Teddy Set from Alison Resin Creations (ARC).",,,,,,,,,,,,,,,"g",,"0.00","TRUE","TRUE","draft",
"big-coloured-light-up-house-scene","Big Coloured Light Up House Scene","Hand-made resin creation: Big Coloured Light Up House Scene.","Alison Resin Creations (ARC)","Resin Art","Big, Coloured, House, Light, Scene, Up","TRUE","Title","Default Title",,,,,,"0",,"0","deny","manual","0.00",,"TRUE","TRUE",,"https://raw.githubusercontent.com/BanterBoy/alisoncreations/feat/arc-initial-site/resources/images/big-coloured-light-up-house-scene.jpg","1","Big Coloured Light Up House Scene","FALSE","Big Coloured Light Up House Scene","Discover the Big Coloured Light Up House Scene from Alison Resin Creations (ARC).",,,,,,,,,,,,,,,"g",,"0.00","TRUE","TRUE","draft",
"big-house-scene","Big House Scene","Hand-made resin creation: Big House Scene.","Alison Resin Creations (ARC)","Resin Art","Big, House, Scene","TRUE","Title","Default Title",,,,,,"0",,"0","deny","manual","0.00",,"TRUE","TRUE",,"https://raw.githubusercontent.com/BanterBoy/alisoncreations/feat/arc-initial-site/resources/images/big-house-scene-%282%29.jpg","1","Big House Scene","FALSE","Big House Scene","Discover the Big House Scene from Alison Resin Creations (ARC).",,,,,,,,,,,,,,,"g",,"0.00","TRUE","TRUE","draft",
"big-light-up-house-scene","Big Light Up House Scene","Hand-made resin creation: Big Light Up House Scene.","Alison Resin Creations (ARC)","Resin Art","Big, House, Light, Scene, Up","TRUE","Title","Default Title",,,,,,"0",,"0","deny","manual","0.00",,"TRUE","TRUE",,"https://raw.githubusercontent.com/BanterBoy/alisoncreations/feat/arc-initial-site/resources/images/big-light-up-house-scene.jpg","1","Big Light Up House Scene","FALSE","Big Light Up House Scene","Discover the Big Light Up House Scene from Alison Resin Creations (ARC).",,,,,,,,,,,,,,,"g",,"0.00","TRUE","TRUE","draft",
"birds-in-house","Birds In House","Hand-made resin creation: Birds In House.","Alison Resin Creations (ARC)","Resin Art","Birds, House, White","TRUE","Color","White",,,,,,"0",,"0","deny","manual","0.00",,"TRUE","TRUE",,"https://raw.githubusercontent.com/BanterBoy/alisoncreations/feat/arc-initial-site/resources/images/birds-in-house-white.jpg","1","Birds In House - White","FALSE","Birds In House","Discover the Birds In House from Alison Resin Creations (ARC).",,,,,,,,,,,,,,,"g",,"0.00","TRUE","TRUE","draft",
"birds-on-branch","Birds On Branch","Hand-made resin creation: Birds On Branch.","Alison Resin Creations (ARC)","Resin Art","Birds, Branch","TRUE","Title","Default Title",,,,,,"0",,"0","deny","manual","0.00",,"TRUE","TRUE",,"https://raw.githubusercontent.com/BanterBoy/alisoncreations/feat/arc-initial-site/resources/images/birds-on-branch-.jpg","1","Birds On Branch","FALSE","Birds On Branch","Discover the Birds On Branch from Alison Resin Creations (ARC).",,,,,,,,,,,,,,,"g",,"0.00","TRUE","TRUE","draft",
"birds-white-in-circle","Birds White In Circle","Hand-made resin creation: Birds White In Circle.","Alison Resin Creations (ARC)","Resin Art","Birds, Circle, White","TRUE","Title","Default Title",,,,,,"0",,"0","deny","manual","0.00",,"TRUE","TRUE",,"https://raw.githubusercontent.com/BanterBoy/alisoncreations/feat/arc-initial-site/resources/images/birds-white-in-circle.jpg","1","Birds White In Circle","FALSE","Birds White In Circle","Discover the Birds White In Circle from Alison Resin Creations (ARC).",,,,,,,,,,,,,,,"g",,"0.00","TRUE","TRUE","draft",
"blue-frog","Blue Frog","Hand-made resin creation: Blue Frog.","Alison Resin Creations (ARC)","Resin Art","Blue, Frog","TRUE","Title","Default Title",,,,,,"0",,"0","deny","manual","0.00",,"TRUE","TRUE",,"https://raw.githubusercontent.com/BanterBoy/alisoncreations/feat/arc-initial-site/resources/images/blue-frog-%282%29.jpg","1","Blue Frog","FALSE","Blue Frog","Discover the Blue Frog from Alison Resin Creations (ARC).",,,,,,,,,,,,,,,"g",,"0.00","TRUE","TRUE","draft",
"boat-with-flower-anchor","Boat With Flower Anchor","Hand-made resin creation: Boat With Flower Anchor.","Alison Resin Creations (ARC)","Resin Art","Anchor, Boat, Flower, White","TRUE","Color","White",,,,,,"0",,"0","deny","manual","0.00",,"TRUE","TRUE",,"https://raw.githubusercontent.com/BanterBoy/alisoncreations/feat/arc-initial-site/resources/images/boat-with-flower-anchor-white.jpg","1","Boat With Flower Anchor - White","FALSE","Boat With Flower Anchor","Discover the Boat With Flower Anchor from Alison Resin Creations (ARC).",,,,,,,,,,,,,,,"g",,"0.00","TRUE","TRUE","draft",
"boat-with-flower-anchor-gold-rope","Boat With Flower Anchor Gold Rope","Hand-made resin creation: Boat With Flower Anchor Gold Rope.","Alison Resin Creations (ARC)","Resin Art","Anchor, Boat, Flower, Gold, Rope","TRUE","Title","Default Title",,,,,,"0",,"0","deny","manual","0.00",,"TRUE","TRUE",,"https://raw.githubusercontent.com/BanterBoy/alisoncreations/feat/arc-initial-site/resources/images/boat-with-flower-anchor-gold-rope.jpg","1","Boat With Flower Anchor Gold Rope","FALSE","Boat With Flower Anchor Gold Rope","Discover the Boat With Flower Anchor Gold Rope from Alison Resin Creations (ARC).",,,,,,,,,,,,,,,"g",,"0.00","TRUE","TRUE","draft",
"brown-butterfly","Brown Butterfly","Hand-made resin creation: Brown Butterfly.","Alison Resin Creations (ARC)","Resin Art","Brown, Butterfly","TRUE","Title","Default Title",,,,,,"0",,"0","deny","manual","0.00",,"TRUE","TRUE",,"https://raw.githubusercontent.com/BanterBoy/alisoncreations/feat/arc-initial-site/resources/images/brown-butterfly.jpg","1","Brown Butterfly","FALSE","Brown Butterfly","Discover the Brown Butterfly from Alison Resin Creations (ARC).",,,,,,,,,,,,,,,"g",,"0.00","TRUE","TRUE","draft",
"butterfly-bday-60","Butterfly Bday 60","Hand-made resin creation: Butterfly Bday 60.","Alison Resin Creations (ARC)","Resin Art","60, Bday, Butterfly, Clear","TRUE","Color","Clear",,,,,,"0",,"0","deny","manual","0.00",,"TRUE","TRUE",,"https://raw.githubusercontent.com/BanterBoy/alisoncreations/feat/arc-initial-site/resources/images/butterfly-bday-60-clear.jpg","1","Butterfly Bday 60 - Clear","FALSE","Butterfly Bday 60","Discover the Butterfly Bday 60 from Alison Resin Creations (ARC).",,,,,,,,,,,,,,,"g",,"0.00","TRUE","TRUE","draft",
"butterfly-white-quote-1","Butterfly White Quote 1","Hand-made resin creation: Butterfly White Quote 1.","Alison Resin Creations (ARC)","Resin Art","1, Butterfly, Quote, White","TRUE","Title","Default Title",,,,,,"0",,"0","deny","manual","0.00",,"TRUE","TRUE",,"https://raw.githubusercontent.com/BanterBoy/alisoncreations/feat/arc-initial-site/resources/images/butterfly-white-quote-1-.jpg","1","Butterfly White Quote 1","FALSE","Butterfly White Quote 1","Discover the Butterfly White Quote 1 from Alison Resin Creations (ARC).",,,,,,,,,,,,,,,"g",,"0.00","TRUE","TRUE","draft",
"butterfly-white-quote-2","Butterfly White Quote 2","Hand-made resin creation: Butterfly White Quote 2.","Alison Resin Creations (ARC)","Resin Art","2, Butterfly, Quote, White","TRUE","Title","Default Title",,,,,,"0",,"0","deny","manual","0.00",,"TRUE","TRUE",,"https://raw.githubusercontent.com/BanterBoy/alisoncreations/feat/arc-initial-site/resources/images/Butterfly%20white%20quote%202%20%282%29.jpg","1","Butterfly White Quote 2","FALSE","Butterfly White Quote 2","Discover the Butterfly White Quote 2 from Alison Resin Creations (ARC).",,,,,,,,,,,,,,,"g",,"0.00","TRUE","TRUE","draft",
"butterfly-white-quote-3","Butterfly White Quote 3","Hand-made resin creation: Butterfly White Quote 3.","Alison Resin Creations (ARC)","Resin Art","3, Butterfly, Quote, White","TRUE","Title","Default Title",,,,,,"0",,"0","deny","manual","0.00",,"TRUE","TRUE",,"https://raw.githubusercontent.com/BanterBoy/alisoncreations/feat/arc-initial-site/resources/images/butterfly-white-quote-3.jpg","1","Butterfly White Quote 3","FALSE","Butterfly White Quote 3","Discover the Butterfly White Quote 3 from Alison Resin Creations (ARC).",,,,,,,,,,,,,,,"g",,"0.00","TRUE","TRUE","draft",
"cat","Cat","Hand-made resin creation: Cat.","Alison Resin Creations (ARC)","Resin Art","Brown White, Cat, Dark Silver, Gold Brown, Jade, Orange, Silver","TRUE","Color","Brown White",,,,,,"0",,"0","deny","manual","0.00",,"TRUE","TRUE",,"https://raw.githubusercontent.com/BanterBoy/alisoncreations/feat/arc-initial-site/resources/images/cat-brown-white.jpg","1","Cat - Brown White","FALSE","Cat","Discover the Cat from Alison Resin Creations (ARC).",,,,,,,,,,,,,,,"g",,"0.00","TRUE","TRUE","draft",
"cat","Cat","Hand-made resin creation: Cat.","Alison Resin Creations (ARC)","Resin Art","Brown White, Cat, Dark Silver, Gold Brown, Jade, Orange, Silver","TRUE","Color","Dark Silver",,,,,,"0",,"0","deny","manual","0.00",,"TRUE","TRUE",,"https://raw.githubusercontent.com/BanterBoy/alisoncreations/feat/arc-initial-site/resources/images/cat-dark-silver.jpg","2","Cat - Dark Silver","FALSE","Cat","Discover the Cat from Alison Resin Creations (ARC).",,,,,,,,,,,,,,,"g",,"0.00","TRUE","TRUE","draft",
